VehicleID,Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
VHL13475,Ibadan,Toyota,Camry,"2,003",Silver,2.4,Foreign Used,130000
VHL11275,Lagos,Mercedes-Benz,GL-Class,"2,014",White,17,Foreign Used,118285
VHL10174,Abuja,BMW,X5 4.4i,"2,006",Gray,3,Foreign Used,
VHL17838,Abuja,Toyota,Highlander,"2,005",Black,3.2,Nigerian Used,124540
VHL16443,Abuja,Toyota,Camry,"2,009",Gray,2.66,Nigerian Used,88800
VHL14714,Abuja,Toyota,Hilux,"2,021",White,23,Brand New,100
VHL16117,Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,"2,019",Black,115,Foreign Used,52000
VHL13689,Abuja,Honda,Accord,"2,016",Gray,7.8,Foreign Used,
VHL16862,Abuja,Volvo,XC90,"2,005",Gray,3.3,Foreign Used,180003
VHL11856,Ibadan,Lexus,ES 350,"2,010",White,5.5,Foreign Used,
VHL17501,Abuja,Toyota,Corolla,"2,013",Red,3.85,Nigerian Used,50000
VHL18676,Abuja,Toyota,Corolla LE,"2,007",Silver,2.3,Nigerian Used,
VHL18868,Abuja,Mercedes-Benz,C350,"2,008",Silver,3.5,Nigerian Used,120213
VHL17663,Abuja,Lexus,LX 570 AWD,"2,017",White,58.9,Foreign Used,32000
VHL13818,Lagos,Lexus,RX 350 FWD,"2,019",White,22,Foreign Used,4000
VHL14263,Abuja,Mercedes-Benz,C320,"2,004",Silver,2.8,Foreign Used,
VHL18551,Lagos,Lexus,ES 350,"2,011",Silver,6.5,Foreign Used,
VHL16010,Lagos,Toyota,RAV4 XLE AWD (2.5L 4cyl 6A),"2,013",Gray,8.25,Foreign Used,
VHL14482,Lagos,Mercedes-Benz,M Class,"2,010",Gold,6.8,Foreign Used,
VHL10028,Lagos,Nissan,Maxima,"2,010",Violet,2.08,,139938
VHL14986,Lagos,Ford,Escape,"2,005",Silver,1.46,Nigerian Used,163801
VHL14109,Lagos,Toyota,Camry,"2,008",Silver,3.6,Foreign Used,217082
VHL15087,Abuja,Toyota,Highlander Limited,"2,010",White,6.85,Foreign Used,65349
VHL15528,Lagos,Toyota,Camry,"2,009",Gray,3.75,Foreign Used,86524
VHL16856,Abuja,Mercedes-Benz,M Class ML 350 4Matic,"2,013",Black,10,Foreign Used,
VHL15968,Abuja,Lexus,ES 350,"2,010",Black,6.5,Nigerian Used,75214
VHL11013,Abuja,Lexus,RX 330,"2,004",Blue,4.5,Nigerian Used,65242
VHL19319,Lagos,Nissan,Murano,"2,003",Brown,2.81,Nigerian Used,
VHL19543,Abuja,Lexus,IS,"2,008",Silver,4.5,Foreign Used,
VHL16868,Abuja,Toyota,Sienna LE FWD (3.3L V6 5A),"2,004",Gold,1.8,Foreign Used,121300
VHL18067,Abuja,Lexus,LX 570 (5 Seats) AWD,"2,018",Black,67.5,Foreign Used,20000
VHL14240,Lagos,Lexus,ES 350,"2,009",Gold,4.5,Foreign Used,36521
VHL12140,Abuja,Toyota,Highlander,"2,003",Gray,2.2,Nigerian Used,
VHL13856,Ibadan,Toyota,Camry,"2,007",Gray,3.3,Foreign Used,
VHL10705,Abuja,Honda,Accord,"2,013",Red,4.2,Nigerian Used,
VHL19331,Ibadan,Toyota,Camry,"2,010",Gold,4,Foreign Used,
VHL18983,Abuja,Mercedes-Benz,C230,"2,005",Gold,2.5,Foreign Used,100000
VHL17578,Abuja,Toyota,4-Runner,"2,000",Gray,1.5,Nigerian Used,
VHL10631,Abuja,Hyundai,Elantra,"2,007",Gray,1.69,Nigerian Used,195106
VHL14589,Lagos,Mercedes-Benz,GLK-Class,"2,010",Silver,6.73,,156155
VHL18076,Lagos,Lexus,RX 350,"2,011",Gray,9.5,Foreign Used,121131
VHL17000,Lagos,Lexus,GX 470,"2,007",Black,5.5,Foreign Used,87451
VHL18763,Lagos,Lexus,ES 350,"2,008",Red,4.5,Foreign Used,129630
VHL19770,Lagos,Lexus,RX 350 AWD,"2,008",Gray,5.78,Foreign Used,78669
VHL11818,Lagos,Lexus,ES 350 FWD,"2,013",Silver,9.7,Foreign Used,58869
VHL14219,Abuja,Ford,Edge,"2,008",Silver,3.8,Foreign Used,87322
VHL14329,Lagos,Ford,Explorer,"2,012",Black,8.44,Foreign Used,232070
VHL16439,Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),"2,009",Blue,7.5,Foreign Used,56655
VHL14035,Lagos,Toyota,4-Runner Limited V6,"2,005",Silver,4.45,Foreign Used,895236
VHL16458,Lagos,Toyota,4-Runner Limited 4x4,"2,019",Black,29,Foreign Used,5000
VHL10503,Lagos,Dodge,RAM,"2,014",Black,11.25,Nigerian Used,69000
VHL18144,Ibadan,Toyota,Corolla,"2,010",Gray,2.05,Nigerian Used,86000
VHL10177,Lagos,Lexus,RX 450hL Luxury AWD,"2,018",Gold,21.5,Foreign Used,5626
VHL13332,Lagos,Honda,Pilot,"2,007",Black,3.59,,303353
VHL16701,Lagos,Lexus,RX 350 4x4,"2,007",Brown,5.4,Foreign Used,
VHL19438,Abuja,Toyota,Highlander,"2,013",White,10.69,Nigerian Used,129939
VHL11941,Abuja,Mercedes-Benz,C300,"2,016",Brown,11.9,Foreign Used,
VHL14612,Lagos,Lexus,RX 350 FWD,"2,012",Blue,7.4,Foreign Used,65828
VHL12469,Lagos,Toyota,Highlander Limited 3.5l 4WD,"2,013",White,8.68,Foreign Used,100000
VHL10452,Lagos,Toyota,Camry,"2,009",Silver,3.2,Foreign Used,75324
VHL12936,Lagos,Toyota,Avalon,"2,013",Red,8.5,Foreign Used,95124
VHL11661,Ibadan,Toyota,Camry,"2,002",Silver,1.2,Nigerian Used,79321
VHL10149,Abuja,Lexus,GX,"2,004",Black,7.31,Nigerian Used,226360
VHL15813,Lagos,Toyota,4-Runner Sport Edition,"2,004",Gray,3.95,Foreign Used,
VHL15408,Lagos,Toyota,Highlander 4x4,"2,008",Green,6,Foreign Used,69769
VHL11049,Lagos,Lexus,RX 350,"2,011",Blue,10.8,Foreign Used,30457
VHL16564,Abuja,Lexus,LS,"2,008",White,3.5,Nigerian Used,120606
VHL11970,Lagos,Lexus,LX,"2,018",Black,52,Brand New,
VHL10052,Ibadan,Honda,CR-V,"2,004",Red,2.48,Foreign Used,397157
VHL16557,Abuja,Toyota,Tacoma,"2,017",Black,16.55,Foreign Used,
VHL16705,Abuja,Mercedes-Benz,S-Class,"2,016",Black,45,Foreign Used,47000
VHL11003,Abuja,Toyota,Corolla S,"2,007",Black,2.4,Nigerian Used,
VHL14586,Lagos,Toyota,RAV4 4x4,"2,007",Black,3.9,Foreign Used,
VHL18235,Lagos,Lexus,ES 350,"2,008",Gray,4.1,Foreign Used,176353
VHL10039,Abuja,Mercedes-Benz,G-Class G 63 AMG,"2,021",White,195,Brand New,
VHL15836,Abuja,Toyota,Land Cruiser Prado 3 172hp,"2,018",Black,27,Foreign Used,
VHL13623,Abuja,Toyota,RAV4 Limited FWD,"2,020",Green,27,Brand New,854
VHL10739,Abuja,Toyota,Camry,"2,011",Blue,4.35,Foreign Used,
VHL19970,Ibadan,Toyota,Corolla,"2,005",Silver,1.69,Nigerian Used,160932
VHL17873,Abuja,Land Rover,Range Rover,"2,009",Green,3.5,Nigerian Used,
VHL10265,Ibadan,Lexus,RX 350 XE 4x4,"2,008",Silver,5.6,Foreign Used,135000
VHL10303,Ibadan,Toyota,Camry,"2,008",Black,3.55,Foreign Used,198000
VHL18303,Abuja,Lincoln,Navigator,"2,013",Silver,9.9,Foreign Used,56000
VHL11104,Ibadan,Toyota,Corolla S,"2,007",Silver,3.15,Foreign Used,130000
VHL14261,Lagos,Lexus,RX 350,"2,011",Silver,8.7,Foreign Used,65000
VHL10593,Lagos,Toyota,Camry 2.4 XLE,"2,008",Red,3.4,Foreign Used,91738
VHL12840,Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),"2,008",White,3.95,Foreign Used,75000
VHL12641,Lagos,Toyota,Venza V6 AWD,"2,010",White,7.9,Foreign Used,
VHL18707,Lagos,Mercedes-Benz,GL-Class GL 450,"2,010",Black,8,Foreign Used,
VHL12011,Lagos,Lexus,RX,"2,003",Silver,3.5,Foreign Used,65000
VHL13228,Lagos,Lexus,CT Base FWD,"2,016",Gray,10.2,Foreign Used,700010
VHL14055,Lagos,Toyota,Camry,"2,009",Gray,3.9,Foreign Used,75840
VHL12831,Lagos,Lexus,RX 350,"2,011",Silver,10.5,Foreign Used,65802
VHL14612,Lagos,Lexus,ES 350,"2,012",White,6.5,Foreign Used,
VHL17233,Lagos,Toyota,Corolla,"2,011",Silver,4.39,Foreign Used,65470
VHL15288,Ibadan,Toyota,Corolla S,"2,007",Blue,1.9,Nigerian Used,189632
VHL17021,Abuja,Peugeot,504,"2,004",Yellow,1.4,Nigerian Used,
VHL17461,Lagos,Toyota,Venza XLE AWD,"2,013",Gray,9.5,Foreign Used,88123
VHL16274,Lagos,Acura,MDX,"2,012",Black,6,Foreign Used,
VHL18265,Lagos,Toyota,Venza XLE AWD,"2,013",White,12,Foreign Used,75365
VHL17648,Abuja,Honda,CR-V EX-L AWD,"2,020",Gray,13.9,Foreign Used,
VHL11061,Ibadan,Toyota,Camry,"2,012",White,4.7,Foreign Used,98000
VHL16651,Ibadan,Lexus,RX 350,"2,010",Gray,9.1,Foreign Used,
VHL15100,Lagos,Toyota,Highlander Limited,"2,009",Green,7.65,Foreign Used,80000
VHL16186,Lagos,Honda,Accord Sedan EX-L V-6,"2,010",Black,2.25,Nigerian Used,149189
VHL12137,Lagos,Toyota,Camry,"2,013",White,6.2,Foreign Used,62745
VHL17555,Abuja,Mercedes-Benz,S-Class S 63 AMG (W222),"2,016",Black,40,Foreign Used,43000
VHL16565,Lagos,Mercedes-Benz,GL-Class GL 450,"2,007",Black,4.5,Foreign Used,
VHL16759,Abuja,Toyota,Corolla,"2,004",White,2.3,Nigerian Used,
VHL16546,Abuja,Peugeot,206,"2,005",Blue,1.63,Nigerian Used,
VHL15709,Lagos,Lexus,GX 460 Luxury,"2,018",White,27,Foreign Used,30121
VHL16681,Abuja,Toyota,Highlander,"2,015",Black,12.5,Foreign Used,
VHL11428,Lagos,Toyota,Camry 2.4 LE,"2,008",Silver,3.2,Foreign Used,94580
VHL19213,Abuja,Toyota,Corolla LE,"2,005",Black,2,Nigerian Used,
VHL12512,Lagos,Lexus,RX 350,"2,010",Black,10.69,Foreign Used,95486
VHL13436,Abuja,Toyota,Corolla,"2,016",Gray,6.7,Foreign Used,35000
VHL13302,Abuja,Toyota,Camry,"2,008",Silver,2.2,Nigerian Used,128881
VHL16176,Abuja,Toyota,Camry,"2,010",Black,2.4,Nigerian Used,121362
VHL18255,Lagos,Toyota,Camry,"2,009",Gray,3.4,Foreign Used,
VHL15785,Abuja,Honda,Odyssey LX,"2,009",Gray,3.38,Foreign Used,136130
VHL11660,Ibadan,Ford,Explorer,"2,013",Blue,9.56,Nigerian Used,88734
VHL17057,Lagos,Hyundai,Sonata,"2,009",Black,1.8,,164003
VHL15049,Abuja,Lexus,LX 570 (5 Seats) AWD,"2,021",Black,87.5,Brand New,
VHL18354,Lagos,Lexus,ES,"2,015",Black,9.8,Foreign Used,
VHL19590,Lagos,Mercedes-Benz,E350,"2,008",Silver,4.25,Foreign Used,
VHL13074,Abuja,Toyota,Highlander Sport,"2,009",Gold,5.3,Nigerian Used,68000
VHL13025,Lagos,Lexus,ES 350,"2,008",Red,5.25,Foreign Used,76345
VHL16519,Abuja,BMW,X3 2.5si Exclusive Automatic,"2,008",Gold,5.5,Foreign Used,
VHL12186,Abuja,Toyota,Avanza,"2,011",Gray,6.7,Foreign Used,68000
VHL12552,Lagos,Toyota,Tundra,"2,016",White,23,Foreign Used,23000
VHL12862,Abuja,Hyundai,I10,"2,015",Gray,2.7,Nigerian Used,
VHL15865,Lagos,Lexus,IS 250,"2,008",Blue,2.81,Nigerian Used,112068
VHL16063,Lagos,Lexus,GX 460 Luxury,"2,020",White,35.5,Foreign Used,6000
VHL18555,Lagos,Lexus,LX,"2,019",Gray,58,Foreign Used,
VHL17779,Lagos,Mercedes-Benz,E300,"2,021",Black,66.5,Brand New,42
VHL13731,Abuja,Mercedes-Benz,E350,"2,013",Gray,12.5,Foreign Used,45264
VHL11472,Lagos,Lexus,RX,"2,012",Gold,10.8,Foreign Used,64000
VHL18853,Abuja,Toyota,Camry,"2,015",Black,5.16,,86280
VHL19238,Abuja,Lexus,GX 470 Sport Utility,"2,005",Silver,6,Foreign Used,99000
VHL11652,Lagos,Toyota,Sequoia,"2,004",Green,3.58,Foreign Used,96523
VHL11579,Lagos,Toyota,Yaris,"2,014",Black,4.5,Nigerian Used,308916
VHL12031,Lagos,Lexus,RX,"2,002",Black,3.3,Foreign Used,
VHL11395,Abuja,Lexus,ES 350,"2,008",Gray,3.5,Nigerian Used,52588
VHL12835,Abuja,Toyota,Camry 2.4 XLE,"2,008",Silver,2.2,Nigerian Used,
VHL13867,Lagos,Ford,Edge,"2,011",Black,2.59,Nigerian Used,182031
VHL15464,Abuja,Lexus,NX,"2,017",White,17,Foreign Used,41576
VHL18310,Lagos,Toyota,Camry SE FWD (2.5L 4cyl 8AM),"2,018",Silver,14.5,Foreign Used,35688
VHL16730,Abuja,Mercedes-Benz,CLA-Class,"2,015",Silver,7.5,Nigerian Used,68000
VHL10108,Abuja,Toyota,Land Cruiser Prado,"2,014",Black,16.31,Nigerian Used,95945
VHL12049,Abuja,Toyota,Avalon,"2,019",Black,32,Brand New,25
VHL18796,Lagos,Chevrolet,Uplander,"2,008",Gray,1.15,,75538
VHL10671,Abuja,Toyota,RAV4,"2,015",Black,9.5,Foreign Used,63738
VHL11035,Lagos,Toyota,Camry,"2,007",Green,3.8,Foreign Used,114034
VHL12266,Abuja,Toyota,Camry,"2,014",White,5.1,Foreign Used,
VHL19255,Abuja,Toyota,Camry,"2,013",Silver,5.5,Foreign Used,156764
VHL14315,Abuja,Toyota,Avalon Touring,"2,007",Silver,3.2,Foreign Used,100000
VHL14881,Lagos,Lexus,ES 350,"2,007",Black,3.25,Nigerian Used,65555
VHL11686,Lagos,Lexus,ES 350,"2,008",Gray,4.45,Foreign Used,88000
VHL12091,Abuja,Toyota,Camry,"2,018",Gray,13.2,Foreign Used,61796
VHL18301,Abuja,Toyota,Camry,"2,008",Silver,2.3,Nigerian Used,
VHL14695,Abuja,Honda,Civic LX Coupe Automatic,"2,012",Black,3.4,Foreign Used,45212
VHL12140,Lagos,Lexus,RX 350 AWD,"2,013",Gray,11.8,Foreign Used,75000
VHL13818,Lagos,Lexus,ES 350,"2,010",Black,6.25,Foreign Used,
VHL15349,Lagos,Toyota,Camry,"2,012",Red,5.8,Foreign Used,
VHL15150,Lagos,Toyota,Tundra Double Cab 4x4 Limited,"2,011",Black,10,Foreign Used,98000
VHL19874,Lagos,Lexus,GS 300 Automatic Off,"2,006",White,3.15,Foreign Used,210836
VHL14193,Lagos,Toyota,Highlander Sport,"2,006",Silver,4.3,Foreign Used,
VHL18401,Ibadan,Toyota,Avensis 2 D-4d Executive,"2,005",Gold,2.85,Foreign Used,167700
VHL16410,Lagos,Lexus,RX 350,"2,008",Blue,5.5,Foreign Used,140444
VHL18387,Lagos,Honda,Accord Crosstour EX,"2,012",Brown,3.94,Nigerian Used,39002
VHL13649,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,012",Gray,11.8,Foreign Used,
VHL14318,Abuja,Toyota,Hilux,"2,020",White,25,Foreign Used,13175
VHL13466,Lagos,Lexus,RX,"2,013",White,9,Foreign Used,
VHL14294,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,007",Gold,4.9,Foreign Used,98565
VHL15954,Lagos,Toyota,Venza AWD,"2,010",Blue,7.5,Foreign Used,
VHL13901,Abuja,Toyota,Fortuner,"2,020",White,28,Brand New,1000
VHL13970,Lagos,Toyota,Tundra,"2,016",Orange,25.5,Foreign Used,
VHL12616,Ibadan,Ford,Edge,"2,010",Gray,3.2,Nigerian Used,
VHL14024,Ibadan,Mercedes-Benz,C300,"2,015",Black,13.5,Foreign Used,113731
VHL17725,Lagos,Kia,Cerato,"2,013",Black,1.69,Nigerian Used,201728
VHL16975,Abuja,Audi,S5,"2,019",Black,43,Foreign Used,23142
VHL16683,Lagos,Toyota,4-Runner SR5 2WD,"2,010",Black,12,Foreign Used,87159
VHL13216,Abuja,Toyota,Corolla,"2,010",Green,2.75,Nigerian Used,
VHL14029,Lagos,Lexus,GX 470 Sport Utility,"2,005",Gray,6.45,Foreign Used,86495
VHL11521,Lagos,Lexus,RX 350 2WD,"2,020",Gray,32,Foreign Used,
VHL13696,Abuja,Ford,Explorer 4 Sport Track Automatic,"2,002",Gray,1.01,Nigerian Used,392793
VHL15090,Abuja,Toyota,Camry XLE V6 FWD,"2,020",Black,19.8,Brand New,2000
VHL17578,Lagos,Lexus,IS,"2,006",Gold,3.8,Foreign Used,
VHL15896,Abuja,Toyota,Camry,"2,013",Black,4.7,Foreign Used,
VHL18247,Ibadan,Toyota,Corolla,"2,008",Silver,2.03,Nigerian Used,91701
VHL11533,Abuja,Honda,CR-V,"2,013",Blue,7.5,Foreign Used,51000
VHL12482,Lagos,Mercedes-Benz,GL-Class GL 450,"2,009",Black,7,Foreign Used,130000
VHL17083,Abuja,Mercedes-Benz,C400,"2,015",Black,15.5,Nigerian Used,67123
VHL19587,Lagos,Lexus,IS 250 AWD Automatic,"2,012",Silver,5.65,Foreign Used,63000
VHL16386,Ibadan,Lexus,ES 350,"2,011",Gray,6.3,Foreign Used,78000
VHL15662,Abuja,Kia,Forte EX,"2,010",Black,3,Foreign Used,40675
VHL14430,Lagos,Honda,Accord,"2,009",Black,2.25,Nigerian Used,148264
VHL15170,Abuja,Jaguar,F-Type 400 Sport AWD Convertible,"2,018",Black,25,Foreign Used,
VHL16853,Abuja,Toyota,Sienna,"2,006",Gray,3.82,,163287
VHL17469,Lagos,Acura,MDX,"2,011",White,6.3,Foreign Used,55396
VHL11404,Lagos,Lexus,ES 350,"2,008",Red,4.7,Foreign Used,87000
VHL17243,Lagos,Mercedes-Benz,GLE43,"2,018",Black,44,Foreign Used,
VHL10911,Abuja,Toyota,Corolla,"2,013",Red,2.7,Nigerian Used,69000
VHL11542,Lagos,Toyota,Highlander Limited V6,"2,005",Blue,4.65,Foreign Used,52814
VHL17683,Ibadan,Nissan,Pathfinder LE 4x4,"2,006",Black,2.9,Foreign Used,
VHL12829,Abuja,BMW,X3,"2,013",Red,5.4,Nigerian Used,114427
VHL15404,Lagos,Lexus,ES,"2,007",Black,3.35,Foreign Used,23568
VHL11766,Abuja,Toyota,Tacoma,"2,017",Silver,24,Foreign Used,40000
VHL12304,Lagos,Lexus,GX 470 Sport Utility,"2,007",Silver,6.6,Foreign Used,82000
VHL14397,Abuja,Toyota,Highlander,"2,016",Brown,14,Foreign Used,83151
VHL12352,Lagos,Acura,RDX Off,"2,017",White,14,Foreign Used,60000
VHL11722,Lagos,Lexus,ES 350,"2,010",Gray,5.8,Foreign Used,75000
VHL19794,Lagos,Toyota,Camry,"2,011",Black,5.4,Foreign Used,87500
VHL17800,Abuja,Mercedes-Benz,E350,"2,010",Black,5.5,Nigerian Used,
VHL19531,Lagos,Lexus,GX 470 Sport Utility,"2,007",Silver,6.8,Foreign Used,63852
VHL12301,Ibadan,Toyota,Avensis Wagon,"2,005",Green,2.1,Foreign Used,112000
VHL16456,Lagos,Lexus,RX 330 AWD,"2,006",White,4.95,Foreign Used,
VHL12577,Abuja,Toyota,Camry,"2,010",Silver,4.3,Foreign Used,
VHL13828,Abuja,BMW,X7 xDrive50i,"2,019",Black,120,Foreign Used,2540
VHL10260,Lagos,Lexus,RX 350,"2,010",Gray,8.8,Foreign Used,93368
VHL14533,Lagos,Ford,Edge SE 4dr FWD (3.5L 6cyl 6A),"2,007",Black,3.04,Foreign Used,467397
VHL13425,Ibadan,Nissan,Pathfinder,"2,002",Black,1.01,Nigerian Used,338106
VHL12679,Abuja,Toyota,Venza V6 AWD,"2,010",Gray,5.9,Nigerian Used,123769
VHL15823,Abuja,Mercedes-Benz,E300,"2,017",Black,16.5,Nigerian Used,
VHL17091,Abuja,Toyota,Land Cruiser 5.7 V8 VXR,"2,020",Black,49.5,Brand New,
VHL14122,Lagos,Toyota,Highlander V6 4x4,"2,005",White,3.8,Foreign Used,
VHL15686,Abuja,Toyota,Corolla,"2,009",Green,3.85,Foreign Used,84645
VHL16647,Lagos,Toyota,Camry,"2,019",Red,9.75,,6575
VHL16549,Ibadan,Kia,Optima,"2,014",Silver,3.7,Foreign Used,
VHL15426,Lagos,Kia,Rio,"2,013",Silver,1.65,Nigerian Used,81106
VHL13009,Lagos,Lexus,GX,"2,008",Gold,8.65,Foreign Used,
VHL14071,Lagos,Toyota,Camry,"2,005",Green,2.81,Foreign Used,303093
VHL13997,Abuja,Toyota,RAV4 Limited,"2,008",White,2.5,Nigerian Used,
VHL14907,Lagos,Mercedes-Benz,C250,"2,014",Black,8,Foreign Used,
VHL12713,Abuja,Toyota,Camry,"2,011",Red,3.95,Foreign Used,90000
VHL14456,Ibadan,Toyota,Corolla 1.6 VVT-i,"2,006",Blue,1.13,Nigerian Used,147635
VHL18180,Abuja,Ford,Escape,"2,009",Black,2.3,Nigerian Used,65000
VHL15174,Abuja,Hyundai,I10 1.2,"2,012",Black,1.6,Nigerian Used,130521
VHL14860,Abuja,Infiniti,JX,"2,013",Red,4.5,Nigerian Used,75000
VHL13679,Lagos,Lexus,GX 460 Luxury,"2,016",White,27,Foreign Used,65000
VHL16276,Abuja,Mercedes-Benz,E55,"2,021",Black,76.5,Brand New,
VHL18957,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,013",Gray,11.5,Foreign Used,62408
VHL12421,Lagos,Lexus,RX 350,"2,010",Gray,9.5,Foreign Used,74690
VHL10914,Abuja,Honda,Accord,"2,008",White,4.2,Foreign Used,
VHL10022,Ibadan,Toyota,Highlander Sport,"2,008",Gray,5.7,Foreign Used,85000
VHL12920,Ibadan,Toyota,Corolla,"2,011",Silver,4.3,Foreign Used,79000
VHL14453,Abuja,Porsche,Cayenne,"2,013",Black,20,Foreign Used,91651
VHL17415,Ibadan,Toyota,Camry,"2,008",Black,2.4,Nigerian Used,786123
VHL12847,Abuja,Toyota,Highlander V6,"2,005",Red,2.3,Nigerian Used,
VHL11597,Abuja,Mercedes-Benz,GLK-Class,"2,012",Blue,7.7,Nigerian Used,42153
VHL15948,Lagos,Lexus,RX 330,"2,005",Blue,5.2,Foreign Used,125808
VHL10894,Abuja,Mercedes-Benz,GLS-Class GLS450 4MATIC,"2,019",White,48,Foreign Used,18452
VHL13162,Abuja,Toyota,Camry XSE FWD (2.5L 4cyl 8AM),"2,018",White,17.5,Foreign Used,56000
VHL16114,Lagos,Mercedes-Benz,X Class,"2,020",Black,74,Foreign Used,5423
VHL18300,Lagos,Lexus,IS 250,"2,008",Black,4.1,Foreign Used,87000
VHL19729,Abuja,Toyota,Camry,"2,014",Black,,Nigerian Used,
VHL12111,Abuja,Toyota,Corolla,"2,015",Silver,4.3,Nigerian Used,67733
VHL12736,Lagos,Lexus,ES 350,"2,008",Gold,4.8,Foreign Used,
VHL12667,Lagos,Lexus,RX 350,"2,010",Gray,8.85,Foreign Used,99675
VHL10260,Abuja,Lexus,IS,"2,006",Pink,2.08,,113231
VHL18780,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,012",Gray,12,Foreign Used,153000
VHL12893,Abuja,Toyota,Camry,"2,002",Brown,2.8,Foreign Used,136214
VHL14621,Abuja,Hyundai,Sonata,"2,013",Gray,2.95,Nigerian Used,101000
VHL14734,Lagos,Toyota,Camry,"2,007",White,3.8,Foreign Used,84508
VHL17217,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,010",Green,7.3,Foreign Used,86038
VHL16843,Lagos,Toyota,Sequoia,"2,010",Gray,10.7,Foreign Used,68529
VHL18335,Abuja,Peugeot,3008,"2,020",Gray,21,Foreign Used,38454
VHL12489,Abuja,Mercedes-Benz,C400,"2,015",White,14,Nigerian Used,
VHL17148,Lagos,Lexus,IS 250,"2,010",White,4.6,Foreign Used,79000
VHL14536,Abuja,Toyota,Camry,"2,010",Gray,3.5,Foreign Used,87071
VHL14528,Lagos,Lexus,LX 570 (5 seats) AWD,"2,016",Black,53,Foreign Used,
VHL12713,Abuja,Ford,Ranger,"2,017",Black,10,Foreign Used,41358
VHL17414,Lagos,Lexus,ES 350 FWD,"2,013",Black,8.65,Foreign Used,98523
VHL13483,Abuja,Toyota,Camry,"2,016",Silver,6.5,Foreign Used,65923
